eventid,iyear,imonth,iday,country,country_txt,region_txt,provstate,city,latitude,longitude,summary,crit1,crit2,crit3,doubtterr,success,suicide,attacktype1_txt,attacktype2_txt,attacktype3_txt,targtype1_txt,targsubtype1_txt,natlty1_txt,gname,motive,nperps,nperpcap,claimed,weaptype1_txt,weaptype2_txt,weapdetail,nkill,nkillter,nwound,propextent_txt,nhostkid,properties.name,properties.color,properties_color,properties.group_name,properties.group_id,properties.radius,properties.headline,properties.article,place,geometry.type,geometry.coordinates
-1662412905,2002,1,5,217,United States,North America,Florida,Tampa,27.947354,-82.45875,"1/5/2002: Charles Bishop, a local 15-year-old, stole a Cessna 172R airplane and crashed it into the 28th and 29th floors of the Bank of America Building in downtown Tampa, Florida, United States.  Bishop had written a suicide letter claiming to be sympathetic with the 9/11 highjackers and Osama bin Laden, however there is no evidence that he was connected directly to any terrorist organizations.  Charles Bishop was the only one who died.  There were also no injuries as the building was evacuated before being hit by the plane.",1,1,1,1.0,1.0,1.0,Hijacking,,,Business,Bank/Commerce,United States,Jihadi-inspired extremists,"In a suicide note written by Charles Bishop, he states: ""First of all, Osama bin Laden is absolutely justified in the terror he has caused on 9-11. He has brought a mighty nation to its knees! God blesses him and the others who helped make September 11 happen,"" ""The U.S. will have to face the consequences for its horrific actions against the Palestinian people and Iraqis by its allegiance with the monstrous Israelis who want nothing short of world domination. You will pay God help you and I will (underlined) make you pay.  There will be more coming! Al Qaeda and other organizations have met with me several times to discuss the option of me joining. I didn't.  This is an operation done by me only. I had no other help, although I am acting on their behalf.  Osama bin Laden is planning on blowing up the Super Bowl with an antiquated nuclear bomb left over from the 1967 Israeli-Syrian war.""",1.0,0.0,1.0,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,Cessna 172R Airplane,1.0,1.0,0.0,Unknown,,Hijacking,#1CBB9B,#1CBB9B,Hijacking,8,1.0,Jihadi-inspired extremists,"    <div id='article_container'>    <h2>Jihadi-inspired extremists</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #1CBB9B'>Hijacking</h2></div>    <p >1/5/2002: Charles Bishop, a local 15-year-old, stole a Cessna 172R airplane and crashed it into the 28th and 29th floors of the Bank of America Building in downtown Tampa, Florida, United States.  Bishop had written a suicide letter claiming to be sympathetic with the 9/11 highjackers and Osama bin Laden, however there is no evidence that he was connected directly to any terrorist organizations.  Charles Bishop was the only one who died.  There were also no injuries as the building was evacuated before being hit by the plane.</p>    <p><b>People killed:</b> 1.0 people</p>    <p><b>People Wounded:</b> 0.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Business    </div>","Tampa, Florida",Point,"[-82.45875, 27.947354]"
-1662202908,2002,1,26,217,United States,North America,Minnesota,St. Paul,44.943829,-93.093326,"01/26/2002: A trailer and two pieces of heavy machinery were burned at the construction site of the Microbial and Plant Genomics Research Center on the University of Minnesota, St. Paul campus. The Earth Liberation Front (ELF) claimed the attack, stating that the target was attacked for its research on genetically modified crops.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Educational Institution,School/University/Educational Building,United States,Earth Liberation Front (ELF),An ELF communiqué claiming credit for the attack stated the attack was a protest of school-sponsored research on genetically modified crops.,,0.0,1.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),,Facility/Infrastructure Attack,#20365E,#20365E,Facility/Infrastructure Attack,1,0.0,Earth Liberation Front (ELF),"    <div id='article_container'>    <h2>Earth Liberation Front (ELF)</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #20365E'>Facility/Infrastructure Attack</h2></div>    <p >01/26/2002: A trailer and two pieces of heavy machinery were burned at the construction site of the Microbial and Plant Genomics Research Center on the University of Minnesota, St. Paul campus. The Earth Liberation Front (ELF) claimed the attack, stating that the target was attacked for its research on genetically modified crops.</p>    <p><b>People killed:</b> 0.0 people</p>    <p><b>People Wounded:</b> 0.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Educational Institution    </div>","St. Paul, Minnesota",Point,"[-93.093326, 44.943829]"
-1661422902,2002,7,4,217,United States,North America,California,Los Angeles,34.097866,-118.407379,"07/04/2002: Hesham Mohamed Hadayet, an Egyptian-born man, opened fired at the El Al Israeli Airlines ticket counter at the Los Angeles Airport (LAX), killing two people and wounding four others. Hadayet was killed by security personel during the attack. Early reports from police and witnesses recount that Hadayet shot the El Al ticket agent, turned his weapon on passengers in line, was then tackled and subdued by a guard who was reportedly stabbed by Hadayet, and was finally shot at by an El Al security guard. CNN reports that US authorities believed that Hadayet espoused anti-Israeli views, opposed US policies in the Middle East, and conducted the attack in the efforts of being a martyr. The victims of the attack were all reportedly Israeli.",1,1,1,0.0,1.0,0.0,Armed Assault,,,Airports & Aircraft,Airport,Israel,Anti-Israeli extremists,The perpetrator espoused anti-Israeli views.,1.0,1.0,0.0,Firearms,Melee,,3.0,1.0,4.0,,,Armed Assault,#E84C3D,#E84C3D,Armed Assault,2,3.0,Anti-Israeli extremists,"    <div id='article_container'>    <h2>Anti-Israeli extremists</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #E84C3D'>Armed Assault</h2></div>    <p >07/04/2002: Hesham Mohamed Hadayet, an Egyptian-born man, opened fired at the El Al Israeli Airlines ticket counter at the Los Angeles Airport (LAX), killing two people and wounding four others. Hadayet was killed by security personel during the attack. Early reports from police and witnesses recount that Hadayet shot the El Al ticket agent, turned his weapon on passengers in line, was then tackled and subdued by a guard who was reportedly stabbed by Hadayet, and was finally shot at by an El Al security guard. CNN reports that US authorities believed that Hadayet espoused anti-Israeli views, opposed US policies in the Middle East, and conducted the attack in the efforts of being a martyr. The victims of the attack were all reportedly Israeli.</p>    <p><b>People killed:</b> 3.0 people</p>    <p><b>People Wounded:</b> 4.0.</p>    <p><b>Claimed the attack:</b> 0.0</p>    <p><b>Target:</b> Airports & Aircraft    </div>","Los Angeles, California",Point,"[-118.407379, 34.097866]"
-1660222907,2002,3,24,217,United States,North America,Pennsylvania,Erie,42.129445,-80.085239,"03/24/2002: The Earth Liberation Front (ELF) claimed responsibility for torching a $500,000 hydraulic crane at a bridge and highway construction site over Wintergreen Gorge in Erie, Pennsylvania in the United States.  There were no casualties in the incident.  The group claimed that the $31 million highway project over Wintergreen Gorge ""would threaten the biological health of the Lake Erie watershed,"" and thus, were trying to stop the project. However, authorities stated that it was unclear if the group was indeed responsible, and they were unable to substantiate the claim without a perpetrator in custody.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Government (General),Government Building/Facility/Office,United States,Earth Liberation Front (ELF),To stop construction of the $31 million highway project that ELF believed was a threat to the biological health of the Lake Erie watershed.,-99.0,-99.0,1.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),,Facility/Infrastructure Attack,#20365E,#20365E,Facility/Infrastructure Attack,1,0.0,Earth Liberation Front (ELF),"    <div id='article_container'>    <h2>Earth Liberation Front (ELF)</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #20365E'>Facility/Infrastructure Attack</h2></div>    <p >03/24/2002: The Earth Liberation Front (ELF) claimed responsibility for torching a $500,000 hydraulic crane at a bridge and highway construction site over Wintergreen Gorge in Erie, Pennsylvania in the United States.  There were no casualties in the incident.  The group claimed that the $31 million highway project over Wintergreen Gorge ""would threaten the biological health of the Lake Erie watershed,"" and thus, were trying to stop the project. However, authorities stated that it was unclear if the group was indeed responsible, and they were unable to substantiate the claim without a perpetrator in custody.</p>    <p><b>People killed:</b> 0.0 people</p>    <p><b>People Wounded:</b> 0.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Government (General)    </div>","Erie, Pennsylvania",Point,"[-80.085239, 42.129445]"
-1658432905,2002,5,3,217,United States,North America,Iowa,Asbury,42.514446,-90.751516,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1.0,1.0,0.0,Bombing/Explosion,,,Private Citizens & Property,Unnamed Civilian/Unspecified,United States,Anti-Government extremists,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1.0,1.0,1.0,Explosives,,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0.0,0.0,1.0,Minor (likely < $1 million),,Bombing/Explosion,#D25302,#D25302,Bombing/Explosion,3,0.0,Anti-Government extremists,"    <div id='article_container'>    <h2>Anti-Government extremists</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #D25302'>Bombing/Explosion</h2></div>    <p >05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.</p>    <p><b>People killed:</b> 0.0 people</p>    <p><b>People Wounded:</b> 1.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Private Citizens & Property    </div>","Asbury, Iowa",Point,"[-90.751516, 42.514446]"
-1658432904,2002,5,3,217,United States,North America,Iowa,Farley,42.443889,-91.009444,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1.0,1.0,0.0,Bombing/Explosion,,,Private Citizens & Property,Unnamed Civilian/Unspecified,United States,Anti-Government extremists,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1.0,1.0,1.0,Explosives,,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0.0,0.0,1.0,Minor (likely < $1 million),,Bombing/Explosion,#D25302,#D25302,Bombing/Explosion,3,0.0,Anti-Government extremists,"    <div id='article_container'>    <h2>Anti-Government extremists</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #D25302'>Bombing/Explosion</h2></div>    <p >05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.</p>    <p><b>People killed:</b> 0.0 people</p>    <p><b>People Wounded:</b> 1.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Private Citizens & Property    </div>","Farley, Iowa",Point,"[-91.009444, 42.443889]"
-1658432903,2002,5,3,217,United States,North America,Iowa,Anamosa,42.108337,-91.285159,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1.0,1.0,0.0,Bombing/Explosion,,,Private Citizens & Property,Unnamed Civilian/Unspecified,United States,Anti-Government extremists,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1.0,1.0,1.0,Explosives,,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0.0,0.0,1.0,Minor (likely < $1 million),,Bombing/Explosion,#D25302,#D25302,Bombing/Explosion,3,0.0,Anti-Government extremists,"    <div id='article_container'>    <h2>Anti-Government extremists</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #D25302'>Bombing/Explosion</h2></div>    <p >05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.</p>    <p><b>People killed:</b> 0.0 people</p>    <p><b>People Wounded:</b> 1.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Private Citizens & Property    </div>","Anamosa, Iowa",Point,"[-91.285159, 42.108337]"
-1658432902,2002,5,3,217,United States,North America,Indiana,Bloomington,39.16659,-86.534244,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1.0,1.0,0.0,Bombing/Explosion,,,Private Citizens & Property,Unnamed Civilian/Unspecified,United States,Anti-Government extremists,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1.0,1.0,1.0,Explosives,,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0.0,0.0,1.0,Minor (likely < $1 million),,Bombing/Explosion,#D25302,#D25302,Bombing/Explosion,3,0.0,Anti-Government extremists,"    <div id='article_container'>    <h2>Anti-Government extremists</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #D25302'>Bombing/Explosion</h2></div>    <p >05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.</p>    <p><b>People killed:</b> 0.0 people</p>    <p><b>People Wounded:</b> 1.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Private Citizens & Property    </div>","Bloomington, Indiana",Point,"[-86.534244, 39.16659]"
-1658432901,2002,5,3,217,United States,North America,Iowa,Eldridge,41.658086,-90.584582,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1.0,1.0,0.0,Bombing/Explosion,,,Private Citizens & Property,Unnamed Civilian/Unspecified,United States,Anti-Government extremists,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1.0,1.0,1.0,Explosives,,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0.0,0.0,1.0,Minor (likely < $1 million),,Bombing/Explosion,#D25302,#D25302,Bombing/Explosion,3,0.0,Anti-Government extremists,"    <div id='article_container'>    <h2>Anti-Government extremists</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #D25302'>Bombing/Explosion</h2></div>    <p >05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Iowa. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.</p>    <p><b>People killed:</b> 0.0 people</p>    <p><b>People Wounded:</b> 1.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Private Citizens & Property    </div>","Eldridge, Iowa",Point,"[-90.584582, 41.658086]"
-1658432900,2002,5,3,217,United States,North America,Illinois,Mount Carroll,42.095023,-89.97818,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Illinois. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1.0,1.0,0.0,Bombing/Explosion,,,Private Citizens & Property,Unnamed Civilian/Unspecified,United States,Anti-Government extremists,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1.0,1.0,1.0,Explosives,,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0.0,0.0,1.0,Minor (likely < $1 million),,Bombing/Explosion,#D25302,#D25302,Bombing/Explosion,3,0.0,Anti-Government extremists,"    <div id='article_container'>    <h2>Anti-Government extremists</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #D25302'>Bombing/Explosion</h2></div>    <p >05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Illinois. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.</p>    <p><b>People killed:</b> 0.0 people</p>    <p><b>People Wounded:</b> 1.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Private Citizens & Property    </div>","Mount Carroll, Illinois",Point,"[-89.97818, 42.095023]"
-1658432899,2002,5,3,217,United States,North America,Illinois,Morrison,41.809751,-89.965119,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Illinois. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1.0,1.0,0.0,Bombing/Explosion,,,Private Citizens & Property,Unnamed Civilian/Unspecified,United States,Anti-Government extremists,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1.0,1.0,1.0,Explosives,,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0.0,0.0,1.0,Minor (likely < $1 million),,Bombing/Explosion,#D25302,#D25302,Bombing/Explosion,3,0.0,Anti-Government extremists,"    <div id='article_container'>    <h2>Anti-Government extremists</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #D25302'>Bombing/Explosion</h2></div>    <p >05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Illinois. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.</p>    <p><b>People killed:</b> 0.0 people</p>    <p><b>People Wounded:</b> 1.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Private Citizens & Property    </div>","Morrison, Illinois",Point,"[-89.965119, 41.809751]"
-1658432898,2002,5,3,217,United States,North America,Illinois,Elizabeth,42.317791,-90.221517,"05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Illinois. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.",1,1,1,1.0,1.0,0.0,Bombing/Explosion,,,Private Citizens & Property,Unnamed Civilian/Unspecified,United States,Anti-Government extremists,The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.,1.0,1.0,1.0,Explosives,,The pipe bombs were assembled with steel pipes and attached to nine-volt batteries and most were accompanied by antigovernment notes. They were rigged to explode when the mailbox was opened. Only six of the seven devices rigged in this manner detonated.,0.0,0.0,0.0,Minor (likely < $1 million),,Bombing/Explosion,#D25302,#D25302,Bombing/Explosion,3,0.0,Anti-Government extremists,"    <div id='article_container'>    <h2>Anti-Government extremists</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #D25302'>Bombing/Explosion</h2></div>    <p >05/03/2002: Between the dates of May 3-7, 2002 eighteen pipe bombs were found in rural mailboxes in five Midwestern states in the U.S.A. collectively causing seven injuries and leading to widespread panic in the region. In the set incidents that occurred on May 3, 2002, seven nearly identical bombs were found by mail carriers and residents in or near mailboxes between 10:49am and 2:30pm in eastern Iowa and western Illinois, including this one in Illinois. Six of the seven bombs detonated, injuring four mail carriers and two residents. Each of the bombs had a note in a plastic bag, which stated, ""I'm obtaining your attention in the only way I can .... more attention-getters are on the way."" On May 7, 2002, the FBI and Nevada state authorities arrested Luke Helder, a 21-year-old college student, who confessed to being responsible for all of the bombs.</p>    <p><b>People killed:</b> 0.0 people</p>    <p><b>People Wounded:</b> 0.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Private Citizens & Property    </div>","Elizabeth, Illinois",Point,"[-90.221517, 42.317791]"
-1658432897,2002,5,3,217,United States,North America,Indiana,Bloomington,39.16659,-86.534244,"05/03/2002: A truck parked at the Sims Poultry Inc., a poultry plant outside of Bloomington, Indiana, U.S.A. was set on fire. The Animal Liberation Front (ALF) later claimed responsibility for the incident via their spokesman David Barabash.  Barabash claimed the reason for the attack was the profit and harm Sims Poultry had committed against animals. Bureau of Alcohol Tobacco and Firearms confirmed the firm had been the target of animal activists in the past.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Business,Retail/Grocery/Bakery,United States,Animal Liberation Front (ALF),The perpetrators wanted to punish Sims Poultry for the company's supposed abuse of animals.,,0.0,1.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),,Facility/Infrastructure Attack,#20365E,#20365E,Facility/Infrastructure Attack,1,0.0,Animal Liberation Front (ALF),"    <div id='article_container'>    <h2>Animal Liberation Front (ALF)</h1>    <div id='headline'><h4 style='border-bottom: 5px solid #20365E'>Facility/Infrastructure Attack</h2></div>    <p >05/03/2002: A truck parked at the Sims Poultry Inc., a poultry plant outside of Bloomington, Indiana, U.S.A. was set on fire. The Animal Liberation Front (ALF) later claimed responsibility for the incident via their spokesman David Barabash.  Barabash claimed the reason for the attack was the profit and harm Sims Poultry had committed against animals. Bureau of Alcohol Tobacco and Firearms confirmed the firm had been the target of animal activists in the past.</p>    <p><b>People killed:</b> 0.0 people</p>    <p><b>People Wounded:</b> 0.0.</p>    <p><b>Claimed the attack:</b> 1.0</p>    <p><b>Target:</b> Business    </div>","Bloomington, Indiana",Point,"[-86.534244, 39.16659]"
